PassengerId,fold
0001_01,4
0002_01,4
0003_01,3
0003_02,3
0004_01,3
0005_01,3
0006_01,4
0006_02,4
0007_01,0
0008_01,4
0008_02,4
0008_03,4
0009_01,3
0010_01,2
0011_01,1
0012_01,2
0014_01,1
0015_01,1
0016_01,1
0017_01,4
0017_02,4
0020_01,4
0020_02,4
0020_03,4
0020_04,4
0020_05,4
0020_06,4
0022_01,4
0024_01,4
0025_01,0
0026_01,0
0028_01,2
0030_01,2
0031_01,3
0031_02,3
0031_03,3
0034_01,0
0035_01,0
0036_01,4
0038_01,2
0039_01,3
0041_01,2
0043_01,1
0044_01,1
0044_02,1
0044_03,1
0045_01,4
0045_02,4
0050_01,3
0051_01,0
0052_01,3
0053_01,3
0056_01,4
0056_02,4
0056_03,4
0058_01,4
0061_01,3
0062_01,3
0064_01,0
0064_02,0
0066_01,4
0067_01,0
0067_02,0
0067_03,0
0068_01,0
0069_01,4
0070_01,4
0071_01,1
0072_01,4
0073_01,3
0074_01,0
0076_01,4
0077_01,3
0078_01,4
0081_01,1
0082_01,1
0082_02,1
0082_03,1
0084_01,2
0085_01,4
0086_01,2
0088_01,0
0090_01,4
0091_01,4
0091_02,4
0092_01,0
0092_02,0
0092_03,0
0097_01,2
0098_01,2
0098_02,2
0099_01,2
0099_02,2
0101_01,1
0102_01,3
0103_01,3
0103_02,3
0103_03,3
0105_01,4
0107_01,4
0108_01,0
0108_02,0
0108_03,0
0110_01,3
0110_02,3
0110_03,3
0110_04,3
0111_01,1
0112_01,0
0113_01,1
0114_01,4
0115_01,3
0116_01,0
0119_01,0
0119_02,0
0120_01,3
0122_01,1
0123_01,0
0126_01,3
0127_01,1
0128_01,1
0128_02,1
0129_01,3
0133_01,0
0133_02,0
0134_01,4
0136_01,4
0138_01,2
0138_02,2
0139_01,2
0140_01,4
0140_02,4
0141_01,1
0144_01,4
0146_01,2
0147_01,2
0148_01,2
0149_01,3
0151_01,0
0152_01,1
0160_01,4
0163_01,0
0163_02,0
0164_01,2
0164_02,2
0165_01,1
0167_01,1
0167_02,1
0169_01,2
0170_01,1
0171_01,4
0172_01,1
0173_01,3
0174_01,0
0177_01,0
0178_01,4
0179_01,4
