PassengerId,fold
0001_01,1
0002_01,2
0003_01,2
0003_02,2
0004_01,0
0005_01,0
0006_01,2
0006_02,2
0007_01,2
0008_01,0
0008_02,0
0008_03,0
0009_01,2
0010_01,1
0011_01,1
0012_01,1
0014_01,2
0015_01,1
0016_01,2
0017_01,1
0017_02,1
0020_01,1
0020_02,1
0020_03,1
0020_04,1
0020_05,1
0020_06,1
0022_01,1
0024_01,2
0025_01,2
0026_01,2
0028_01,0
0030_01,0
0031_01,2
0031_02,2
0031_03,2
0034_01,0
0035_01,2
0036_01,0
0038_01,2
0039_01,2
0041_01,0
0043_01,0
0044_01,1
0044_02,1
0044_03,1
0045_01,1
0045_02,1
0050_01,0
0051_01,1
0052_01,1
0053_01,0
0056_01,0
0056_02,0
0056_03,0
0058_01,1
0061_01,2
0062_01,0
0064_01,1
0064_02,1
0066_01,2
0067_01,1
0067_02,1
0067_03,1
0068_01,2
0069_01,2
0070_01,1
0071_01,2
0072_01,1
0073_01,1
0074_01,2
0076_01,0
0077_01,2
0078_01,0
0081_01,1
0082_01,0
0082_02,0
0082_03,0
0084_01,2
0085_01,0
0086_01,0
0088_01,0
0090_01,0
0091_01,1
0091_02,1
0092_01,1
0092_02,1
0092_03,1
0097_01,1
0098_01,2
0098_02,2
0099_01,2
0099_02,2
0101_01,1
0102_01,2
0103_01,1
0103_02,1
0103_03,1
0105_01,0
0107_01,0
0108_01,0
0108_02,0
0108_03,0
0110_01,1
0110_02,1
0110_03,1
0110_04,1
0111_01,2
0112_01,0
0113_01,0
0114_01,2
0115_01,1
0116_01,2
0119_01,0
0119_02,0
0120_01,0
0122_01,0
0123_01,0
0126_01,0
0127_01,0
0128_01,1
0128_02,1
0129_01,2
0133_01,2
0133_02,2
0134_01,2
0136_01,0
0138_01,1
0138_02,1
0139_01,0
0140_01,2
0140_02,2
0141_01,1
0144_01,2
0146_01,2
0147_01,0
0148_01,0
0149_01,0
0151_01,2
0152_01,1
0160_01,1
0163_01,0
0163_02,0
0164_01,1
0164_02,1
0165_01,2
0167_01,1
0167_02,1
0169_01,0
0170_01,0
0171_01,1
0172_01,2
0173_01,0
0174_01,2
0177_01,1
0178_01,2
0179_01,1
0179_02,1
0179_03,1
0181_01,2
0182_01,2
0183_01,0
0186_01,2
0188_01,1
0189_01,2
0190_01,0
0192_01,1
0192_02,1
0192_03,1
0193_01,0
0193_02,0
0193_03,0
0195_01,0
0196_01,0
0197_01,2
0198_01,2
0199_01,0
0200_01,1
0201_01,2
0201_02,2
0202_01,0
0202_02,0
0203_01,0
0205_01,1
0206_01,2
0207_01,2
0210_01,0
0211_01,0
0211_02,0
0211_03,0
0212_01,0
0212_02,0
0213_01,1
0216_01,0
0217_01,0
0219_01,2
0220_01,2
0220_02,2
0220_03,2
0220_04,2
0220_05,2
0220_06,2
0220_07,2
0221_01,2
0221_02,2
0221_03,2
0221_04,2
0221_05,2
0221_06,2
0221_07,2
0222_01,1
0222_02,1
0222_03,1
0223_01,0
0224_01,0
0225_01,1
0229_01,1
0231_01,2
0232_01,0
0233_01,2
0234_01,1
0237_01,0
0239_01,2
0240_01,2
0241_01,2
0242_01,2
0243_01,1
0244_01,0
0244_02,0
0245_01,0
0245_02,0
0246_01,0
0248_01,0
0250_01,0
0251_01,0
0252_01,2
0253_01,1
0254_01,2
0255_01,1
0257_01,1
0257_02,1
0258_01,2
0260_01,1
0261_01,2
0263_01,1
0265_01,0
0267_01,2
0269_01,2
0270_01,2
0275_01,2
0277_01,0
0278_01,2
0278_02,2
0281_01,1
0282_01,1
0283_01,1
0283_02,1
0285_01,1
0285_02,1
0286_01,1
0287_01,0
0287_02,0
0288_01,1
0289_01,0
0290_01,1
0290_02,1
0290_03,1
0290_04,1
0291_01,1
0294_01,1
0297_01,0
0298_01,0
0301_01,0
0302_01,1
0303_01,1
0304_01,1
0305_01,2
0306_01,0
0307_01,0
0309_01,0
0310_01,2
0313_01,0
0313_02,0
0313_03,0
0313_04,0
0314_01,2
0315_01,0
0316_01,0
0316_02,0
0320_01,0
0320_02,0
0321_01,2
0322_01,0
0324_01,1
0326_01,2
0327_01,1
0330_01,1
0330_02,1
0330_03,1
0331_01,0
0333_01,0
0334_01,2
0336_01,0
0337_01,0
0337_02,0
0337_03,0
0338_01,2
0340_01,2
0341_01,1
