PassengerId,fold
0001_01,4
0002_01,2
0003_01,2
0003_02,2
0004_01,3
0005_01,2
0006_01,3
0006_02,1
0007_01,0
0008_01,0
0008_02,1
0008_03,3
0009_01,1
0010_01,2
0011_01,1
0012_01,3
0014_01,2
0015_01,4
0016_01,3
0017_01,2
0017_02,2
0020_01,2
0020_02,1
0020_03,3
0020_04,4
0020_05,1
0020_06,2
0022_01,0
0024_01,4
0025_01,2
0026_01,3
0028_01,4
0030_01,3
0031_01,1
0031_02,2
0031_03,2
0034_01,2
0035_01,0
0036_01,2
0038_01,0
0039_01,1
0041_01,2
0043_01,4
0044_01,2
0044_02,4
0044_03,2
0045_01,2
0045_02,4
0050_01,0
0051_01,4
0052_01,0
0053_01,4
0056_01,4
0056_02,4
0056_03,2
0058_01,2
0061_01,3
0062_01,0
0064_01,4
0064_02,3
0066_01,2
0067_01,1
0067_02,1
0067_03,1
0068_01,3
0069_01,4
0070_01,2
0071_01,4
0072_01,1
0073_01,1
0074_01,2
0076_01,2
0077_01,2
0078_01,3
0081_01,2
0082_01,3
0082_02,4
0082_03,4
0084_01,4
0085_01,2
0086_01,0
0088_01,0
0090_01,1
0091_01,3
0091_02,2
0092_01,3
0092_02,0
0092_03,2
0097_01,0
0098_01,3
0098_02,0
0099_01,4
0099_02,2
0101_01,3
0102_01,4
0103_01,1
0103_02,4
0103_03,1
0105_01,2
0107_01,4
0108_01,0
0108_02,2
0108_03,1
0110_01,0
0110_02,4
0110_03,2
0110_04,2
0111_01,2
0112_01,1
0113_01,4
0114_01,0
0115_01,4
0116_01,1
0119_01,0
0119_02,2
0120_01,3
0122_01,2
0123_01,4
0126_01,2
0127_01,2
0128_01,2
0128_02,3
0129_01,2
0133_01,0
0133_02,0
0134_01,3
0136_01,0
0138_01,3
0138_02,0
0139_01,3
0140_01,1
0140_02,2
0141_01,1
0144_01,4
0146_01,4
0147_01,1
0148_01,0
0149_01,2
0151_01,4
0152_01,1
0160_01,2
0163_01,0
0163_02,3
0164_01,0
0164_02,3
0165_01,1
0167_01,1
0167_02,1
0169_01,1
0170_01,4
0171_01,3
0172_01,4
0173_01,2
0174_01,1
0177_01,4
0178_01,1
0179_01,4
0179_02,0
0179_03,4
0181_01,4
0182_01,0
0183_01,4
0186_01,2
0188_01,2
0189_01,3
0190_01,3
0192_01,4
0192_02,3
0192_03,0
0193_01,4
0193_02,4
0193_03,1
0195_01,2
0196_01,1
0197_01,3
0198_01,0
0199_01,4
0200_01,1
0201_01,0
0201_02,4
0202_01,1
0202_02,1
0203_01,3
0205_01,3
0206_01,2
0207_01,0
0210_01,1
0211_01,0
0211_02,3
0211_03,2
0212_01,4
0212_02,0
0213_01,4
0216_01,4
0217_01,0
0219_01,2
0220_01,0
0220_02,2
0220_03,0
0220_04,4
0220_05,0
0220_06,4
0220_07,0
0221_01,4
0221_02,0
0221_03,2
0221_04,0
0221_05,4
0221_06,3
0221_07,4
0222_01,3
0222_02,0
0222_03,3
0223_01,1
0224_01,4
0225_01,4
0229_01,0
0231_01,4
0232_01,0
0233_01,2
0234_01,4
0237_01,3
0239_01,3
0240_01,0
0241_01,4
0242_01,3
0243_01,2
0244_01,1
0244_02,2
0245_01,3
0245_02,0
0246_01,2
0248_01,1
0250_01,4
0251_01,1
0252_01,2
0253_01,0
0254_01,4
0255_01,0
0257_01,4
0257_02,1
0258_01,4
0260_01,2
0261_01,4
0263_01,4
0265_01,1
0267_01,2
0269_01,4
0270_01,0
0275_01,2
0277_01,2
0278_01,0
0278_02,2
0281_01,1
0282_01,0
0283_01,1
0283_02,4
0285_01,2
0285_02,2
0286_01,4
0287_01,4
0287_02,1
0288_01,1
0289_01,2
0290_01,4
0290_02,2
0290_03,1
0290_04,1
0291_01,2
0294_01,0
0297_01,1
0298_01,4
0301_01,1
0302_01,2
0303_01,2
0304_01,3
0305_01,2
0306_01,1
0307_01,3
0309_01,2
0310_01,0
0313_01,2
0313_02,4
0313_03,4
0313_04,0
0314_01,3
0315_01,0
0316_01,0
0316_02,3
0320_01,2
0320_02,0
0321_01,0
0322_01,0
0324_01,1
0326_01,4
0327_01,4
0330_01,1
0330_02,3
0330_03,0
0331_01,1
0333_01,1
0334_01,1
0336_01,4
0337_01,0
0337_02,3
0337_03,0
0338_01,2
0340_01,0
0341_01,1
0343_01,1
0345_01,3
0346_01,1
0347_01,4
0348_01,3
0348_02,4
0350_01,4
0352_01,0
0355_01,2
0356_01,1
0357_01,4
0358_01,4
0358_02,3
0359_01,2
0360_01,4
0361_01,4
0365_01,2
0368_01,4
0368_02,0
0369_01,2
0370_01,2
0371_01,0
0372_01,2
0373_01,4
0375_01,3
0376_01,4
0377_01,1
0378_01,0
0378_02,4
0378_03,1
0378_04,2
0378_05,2
0378_06,0
0378_07,2
0379_01,2
0380_01,1
0381_01,1
0381_02,2
0382_01,2
0383_01,1
0383_02,0
0384_01,1
0384_02,3
0385_01,0
0387_01,0
0388_01,4
0389_01,4
0391_01,3
0392_01,4
0395_01,0
0395_02,0
0396_01,2
0397_01,1
0398_01,3
0401_01,1
0401_02,0
0402_01,4
0403_01,3
0405_01,1
0407_01,4
0407_02,2
0407_03,0
0408_01,0
0409_01,0
0410_01,4
0411_01,0
0412_01,2
0413_01,2
0415_01,3
0417_01,1
0417_02,4
0417_03,4
0423_01,0
0425_01,0
0425_02,0
0425_03,2
0427_01,2
0428_01,0
0429_01,1
0429_02,2
0430_01,4
0431_01,4
0432_01,1
0433_01,4
0433_02,1
0434_01,2
0435_01,0
0436_01,2
0436_02,2
0437_01,3
0437_02,4
0438_01,1
0439_01,2
0441_01,4
0442_01,2
0444_01,0
0444_02,3
0445_01,3
0445_02,3
0446_01,0
0447_01,0
0448_01,1
0448_02,4
0449_01,3
0452_01,1
0453_01,0
0453_02,2
0453_03,2
0454_01,0
0454_02,4
0454_03,1
0456_01,0
0457_01,4
0457_02,1
0457_03,3
0458_01,1
0459_01,3
0460_01,3
0461_01,3
0461_02,3
0461_03,3
0462_01,0
0463_01,1
0463_02,3
0465_01,2
0465_02,1
0466_01,0
0468_01,1
0470_01,3
0470_02,3
0471_01,1
0471_02,4
0472_01,2
0474_01,4
0475_01,4
0476_01,3
0476_02,3
0476_03,0
0477_01,1
0480_01,1
0481_01,4
0482_01,4
0482_02,4
0485_01,0
0487_01,4
0488_01,1
0490_01,1
0498_01,0
0498_02,1
0499_01,2
0499_02,0
0500_01,1
0501_01,1
0502_01,3
