column,train_missing_rate,test_missing_rate,absolute_gap
FoodCourt,0.021051420683308408,0.024783726911386486,0.0037323062280780785
CryoSleep,0.02496261359714713,0.021744213233574936,0.003218400363572193
VRDeck,0.021626596111814105,0.018704699555763385,0.0029218965560507196
HomePlanet,0.023122052225928908,0.02034136076689268,0.0027806914590362275
Spa,0.021051420683308408,0.023614683189151275,0.0025632625058428678
RoomService,0.02082135051190613,0.01917231704465747,0.001649033467248661
VIP,0.023352122397331185,0.021744213233574936,0.0016079091637562493
Name,0.023007017140227768,0.02197802197802198,0.0010289951622057883
ShoppingMall,0.02392729782583688,0.022913256955810146,0.0010140408700267355
Age,0.020591280340503854,0.02127659574468085,0.0006853154041769963
Destination,0.02093638559760727,0.021510404489127895,0.0005740188915206237
Cabin,0.02289198205452663,0.02338087444470423,0.0004888923901775998
PassengerId,0.0,0.0,0.0
