feature,value,target_rate,count
HomePlanet,Earth,0.42394611038678837,4602
HomePlanet,Europa,0.65884561238855,2131
HomePlanet,Mars,0.5230244457077885,1759
HomePlanet,__MISSING__,0.5124378109452736,201
CryoSleep,False,0.3289207574921861,5439
CryoSleep,True,0.8175831412578202,3037
CryoSleep,__MISSING__,0.48847926267281105,217
Destination,TRAPPIST-1e,0.47117497886728654,5915
Destination,55 Cancri e,0.61,1800
Destination,PSO J318.5-22,0.5037688442211056,796
Destination,__MISSING__,0.5054945054945055,182
VIP,False,0.5063321674104451,8291
VIP,__MISSING__,0.5123152709359606,203
VIP,True,0.38190954773869346,199
