exp,model,feature_set,cv_strategy,cv_accuracy,cv_auc,memo
exp001_xgb_initial,xgboost,raw,stratified,0.793972,0.873007,Initial XGBoost baseline with ordinary StratifiedKFold
exp101_catboost_baseline,catboost,basic,stratified_group,0.821235,0.904894,CatBoost native-categorical diverse baseline
exp102_xgboost_baseline,xgboost,basic,stratified_group,0.815024,0.90384,XGBoost one-hot diverse baseline
exp103_extratrees_baseline,extratrees,basic,stratified_group,0.806626,0.887331,ExtraTrees diversity baseline
exp104_logistic_baseline,logistic,basic,stratified_group,0.797193,0.88968,Regularized linear baseline
exp105_mlp_baseline,mlp,basic,stratified_group,0.802715,0.895,Small neural-network diversity baseline
exp201_catboost_selected,catboost,selected,stratified_group,0.81997,0.904335,CatBoost after group-CV feature-block selection
exp202_xgboost_selected,xgboost,selected,stratified_group,0.814794,0.903586,XGBoost after group-CV feature-block selection
exp203_extratrees_selected,extratrees,selected,stratified_group,0.809272,0.891099,ExtraTrees after group-CV feature-block selection
exp204_logistic_selected,logistic,selected,stratified_group,0.797308,0.889577,Logistic regression after group-CV feature-block selection
exp205_mlp_selected,mlp,selected,stratified_group,0.8026,0.89115,MLP after group-CV feature-block selection
exp301_catboost_hpo,catboost,selected,stratified_group,0.816749,0.901044,HPO best trial 3; dedicated grouped tuning CV accuracy 0.813068
exp302_xgboost_hpo,xgboost,selected,stratified_group,0.814794,0.903586,HPO best trial 0; dedicated grouped tuning CV accuracy 0.811457
exp303_extratrees_hpo,extratrees,selected,stratified_group,0.80467,0.89681,HPO best trial 3; dedicated grouped tuning CV accuracy 0.807431
exp304_logistic_hpo,logistic,selected,stratified_group,0.798804,0.890802,HPO best trial 4; dedicated grouped tuning CV accuracy 0.799149
exp305_mlp_hpo,mlp,selected,stratified_group,0.806166,0.897505,HPO best trial 2; dedicated grouped tuning CV accuracy 0.806741
hill_climb_ensemble,hill_climb,oof_selected,stratified_group,0.8213505119061314,0.9049130620975943,Weights and threshold selected only from shared-fold OOF
